exp,napps,n_fam,cores,mem_mul,perf,frac_gap,add_ccs,Conlloovia_vars,Conlloovia_status,Conlloovia_lower_bound_d_h,All_lower_bound_d_h_0.5,Conlloovia_cost_d_h,FFC_cost_d_h,FFP_cost_d_h,Fcma_1_0.5_cost_d_h,Conlloovia_creation_time_s,Conlloovia_solving_time_s,FFC_creation_time_s,FFC_solving_time_s,FFP_creation_time_s,FFP_solving_time_s,Fcma_1_0.5_pre_alloc_time_s,Fcma_1_0.5_alloc_time_s,Conlloovia_fault_tolerance_m_e_0.5,FFC_fault_tolerance_m_e_0.5,FFP_fault_tolerance_m_e_0.5,Fcma_1_0.5_fault_tolerance_m,Conlloovia_isolation_m,FFC_isolation_m,FFP_isolation_m,Fcma_1_0.5_isolation_m,Conlloovia_vm_recycling_m,FFC_vm_recycling_m,FFP_vm_recycling_m,Fcma_1_0.5_vm_recycling_m,Conlloovia_vm_load_balance_m,FFC_vm_load_balance_m,FFP_vm_load_balance_m,Fcma_1_0.5_vm_load_balance_m
0,1,1,0.12,2,0.02,0.02,False,1365,OPTIMAL,4.149,4.224,4.224,4.6080000000000005,4.224000000000002,4.224,0.0860,0.2111,0.0014,0.0783,0.0015,0.0985,0.1078,0.0049,0.0,0.0,1.0,0.0,0.135,0.0028735632183908046,0.1278409090909091,0.0763888888888889,0.0,0.0,0.0,0.0,0.25,1.0,0.022727272727272728,0.5
1,1,1,0.12,2,0.4,0.02,False,120,OPTIMAL,0.096,0.096,0.096,0.096,0.096,0.096,0.0086,0.0136,0.0013,0.0076,0.0013,0.0067,0.0143,0.0029,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,1,0.12,8,0.02,0.02,False,260,OPTIMAL,0.5760000000000001,0.5760000000000001,0.5760000000000001,0.856,0.9599999999999999,0.5760000000000001,0.0172,0.0342,0.0013,0.0187,0.0014,0.0229,0.0146,0.0064,1.0,0.0,1.0,0.0,0.42000000000000004,0.01818181818181818,0.25,0.225,0.3333333333333333,1.0,0.0,1.0,0.2,1.0,0.1,0.5
3,1,1,0.12,8,0.4,0.02,False,120,OPTIMAL,0.096,0.096,0.096,0.096,0.096,0.096,0.0086,0.0132,0.0013,0.0081,0.0013,0.0071,0.0148,0.0034,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1,1,3.0,2,0.02,0.02,False,999,OPTIMAL,18.3168,18.624000000000002,18.624,18.816000000000003,20.35200000000001,19.008000000000003,0.0670,0.1293,0.0010,0.0228,0.0010,0.0414,0.0198,0.0392,1.0,1.0,1.0,1.0,0.32916666666666666,0.26153846153846155,1.0,0.44217687074829926,0.0,0.9795918367346939,0.0,1.0,0.125,0.2,0.018867924528301886,0.14285714285714285
5,1,1,3.0,2,0.4,0.02,False,423,OPTIMAL,11.311,11.311,11.52,11.520000000000001,20.736000000000008,11.712000000000002,0.0299,0.0762,0.0009,0.0145,0.0009,0.0232,0.0150,0.0343,1.0,1.0,1.0,1.0,0.13888888888888887,0.1272727272727273,1.0,0.45833333333333337,1.0,0.8,0.0,0.5409836065573771,0.3333333333333333,0.3333333333333333,0.037037037037037035,0.25
6,1,1,3.0,8,0.02,0.02,False,162,OPTIMAL,5.136,5.136,5.136,6.767999999999999,9.416,5.136,0.0119,0.0274,0.0008,0.0075,0.0009,0.0225,0.0142,0.0193,0.0,0.0,1.0,0.0,0.1,0.09090909090909091,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.09090909090909091,1.0
7,1,1,3.0,8,0.4,0.02,False,168,OPTIMAL,2.782,2.782,2.782,3.852,4.708,2.782,0.0127,0.0511,0.0010,0.0088,0.0010,0.0233,0.0163,0.0427,0.0,0.0,1.0,0.0,0.375,0.09090909090909091,1.0,0.375,0.0,1.0,0.0,1.0,0.5,1.0,0.09090909090909091,0.5
8,1,4,0.12,2,0.02,0.02,False,4245,OPTIMAL,0.192,0.192,0.192,7.04768,1.3869999999999996,0.192,0.2694,0.5140,0.0067,0.1083,0.0064,0.0513,0.0367,0.0034,0.0,0.0,1.0,0.0,0.16666666666666666,0.0024096385542168677,0.21052631578947367,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.05263157894736842,1.0
9,1,4,0.12,2,0.4,0.02,False,990,OPTIMAL,0.096,0.096,0.096,0.44048,0.511,0.096,0.0635,0.0500,0.0065,0.0289,0.0062,0.0406,0.0366,0.0029,0.0,0.0,1.0,0.0,1.0,0.03571428571428571,0.08333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,1.0
